clean_file,spec_version,n_ops_original,n_ops_converted,status
S1__azure.com-guestconfiguration-2018-11-20-swagger.yaml,3.x,7,7,ok
S1__azure.com-hanaonazure-2017-11-03-preview-swagger.yaml,3.x,15,15,ok
S1__azure.com-hardwaresecuritymodules-dedicatedhsm-2018-10-31-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-hdinsight-applications-2018-06-01-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-hdinsight-job-2018-11-01-preview-swagger.yaml,3.x,10,10,ok
S1__azure.com-healthcareapis-healthcare-apis-2019-09-16-swagger.yaml,3.x,9,9,ok
S1__azure.com-hybriddatamanager-hybriddata-2016-06-01-swagger.yaml,3.x,29,29,ok
S1__azure.com-imagebuilder-2019-05-01-preview-swagger.yaml,3.x,10,10,ok
S1__azure.com-imds-2019-08-15-swagger.yaml,3.x,4,4,ok
S1__azure.com-intune-2015-01-14-preview-swagger.yaml,3.x,33,33,ok
S1__azure.com-iotcentral-2018-09-01-swagger.yaml,3.x,10,10,ok
S1__azure.com-iothub-2019-07-01-preview-swagger.yaml,3.x,32,32,ok
S1__azure.com-iotspaces-2017-10-01-preview-swagger.yaml,3.x,8,8,ok
S1__azure.com-keyvault-2016-10-01-swagger.yaml,3.x,67,67,ok
S1__azure.com-keyvault-2018-02-14-swagger.yaml,3.x,12,12,ok
S1__azure.com-labservices-ML-2018-10-15-swagger.yaml,3.x,55,55,ok
S1__azure.com-locationbasedservices-2017-01-01-preview-swagger.yaml,3.x,10,10,ok
S1__azure.com-logic-2019-05-01-swagger.yaml,3.x,106,106,ok
S1__azure.com-machinelearning-commitmentPlans-2016-05-01-preview-swagger.yaml,3.x,12,12,ok
S1__azure.com-machinelearning-webservices-2017-01-01-swagger.yaml,3.x,9,9,ok
S1__azure.com-machinelearning-workspaces-2016-04-01-swagger.yaml,3.x,9,9,ok
S1__azure.com-machinelearningcompute-machineLearningCompute-2017-06-01-preview-swagger.yaml,3.x,10,10,ok
S1__azure.com-machinelearningcompute-machineLearningCompute-2017-08-01-preview-swagger.yaml,3.x,10,10,ok
S1__azure.com-machinelearningexperimentation-machineLearningExperimentation-2017-05-01-preview-swagger.yaml,3.x,17,17,ok
S1__azure.com-machinelearningservices-artifact-2019-08-01-swagger.yaml,3.x,18,18,ok
